"Class","Order","Family","Genus","Species"
"Ascidiacea","Aplousobranchia","Clavelinidae","Clavelina","Clavelina amplexa"
"Ascidiacea","Aplousobranchia","Clavelinidae","Clavelina","Clavelina arafurensis"
"Ascidiacea","Aplousobranchia","Clavelinidae","Clavelina","Clavelina auracea"
"Ascidiacea","Aplousobranchia","Clavelinidae","Clavelina","Clavelina australis"
"Ascidiacea","Aplousobranchia","Clavelinidae","Clavelina","Clavelina baudinensis"
"Ascidiacea","Aplousobranchia","Clavelinidae","Clavelina","Clavelina borealis"
"Ascidiacea","Aplousobranchia","Clavelinidae","Clavelina","Clavelina brasiliensis"
"Ascidiacea","Aplousobranchia","Clavelinidae","Clavelina","Clavelina breve"
"Ascidiacea","Aplousobranchia","Clavelinidae","Clavelina","Clavelina coerulea"
"Ascidiacea","Aplousobranchia","Clavelinidae","Clavelina","Clavelina concrescens"
"Ascidiacea","Aplousobranchia","Clavelinidae","Clavelina","Clavelina cyclus"
"Ascidiacea","Aplousobranchia","Clavelinidae","Clavelina","Clavelina cylindrica"
"Ascidiacea","Aplousobranchia","Clavelinidae","Clavelina","Clavelina dagysa"
"Ascidiacea","Aplousobranchia","Clavelinidae","Clavelina","Clavelina dellavallei"
"Ascidiacea","Aplousobranchia","Clavelinidae","Clavelina","Clavelina detorta"
"Ascidiacea","Aplousobranchia","Clavelinidae","Clavelina","Clavelina elegans"
"Ascidiacea","Aplousobranchia","Clavelinidae","Clavelina","Clavelina enormis"
"Ascidiacea","Aplousobranchia","Clavelinidae","Clavelina","Clavelina fasciculata"
"Ascidiacea","Aplousobranchia","Clavelinidae","Clavelina","Clavelina fecunda"
"Ascidiacea","Aplousobranchia","Clavelinidae","Clavelina","Clavelina gemmae"
"Ascidiacea","Aplousobranchia","Clavelinidae","Clavelina","Clavelina huntsmani"
"Ascidiacea","Aplousobranchia","Clavelinidae","Clavelina","Clavelina kottae"
"Ascidiacea","Aplousobranchia","Clavelinidae","Clavelina","Clavelina lepadiformis"
"Ascidiacea","Aplousobranchia","Clavelinidae","Clavelina","Clavelina maculata"
"Ascidiacea","Aplousobranchia","Clavelinidae","Clavelina","Clavelina meridionalis"
"Ascidiacea","Aplousobranchia","Clavelinidae","Clavelina","Clavelina michaelseni"
"Ascidiacea","Aplousobranchia","Clavelinidae","Clavelina","Clavelina miniata"
"Ascidiacea","Aplousobranchia","Clavelinidae","Clavelina","Clavelina minuta"
"Ascidiacea","Aplousobranchia","Clavelinidae","Clavelina","Clavelina mirabilis"
"Ascidiacea","Aplousobranchia","Clavelinidae","Clavelina","Clavelina moluccensis"
"Ascidiacea","Aplousobranchia","Clavelinidae","Clavelina","Clavelina neapolitana"
"Ascidiacea","Aplousobranchia","Clavelinidae","Clavelina","Clavelina nigra"
"Ascidiacea","Aplousobranchia","Clavelinidae","Clavelina","Clavelina obesa"
"Ascidiacea","Aplousobranchia","Clavelinidae","Clavelina","Clavelina oblonga"
"Ascidiacea","Aplousobranchia","Clavelinidae","Clavelina","Clavelina oliva"
"Ascidiacea","Aplousobranchia","Clavelinidae","Clavelina","Clavelina ostrearium"
"Ascidiacea","Aplousobranchia","Clavelinidae","Clavelina","Clavelina picta"
"Ascidiacea","Aplousobranchia","Clavelinidae","Clavelina","Clavelina polycitorella"
